"id","run_number","trial","block","stim1","stim2","feedback","choice","outcome","times_too_slow","trial_started","iti_ideal_lag","stim_time","choice_time","reaction_time","correct_choice","feedback_isi","feedback_time","every_ten","experiment_date","experiment_build","site","trial_type","trial_started_next","stim_time_next","iti_ideal","too_slow_lead","bad_trial","outcome_fac","iti_actual","trial_completed","was_slow","was_slow_lead","rt_diff"
221604,2,48,1001,116,-1000,0,1,0,0,433.202093899999,2.3,436.4187339,438.413678299999,2.71980459999941,1,4.21,442.8096668,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",443.871956499999,447.0270194,3.03,0,FALSE,"nothing",3.21735259999997,NA,"FALSE","FALSE",0.724860200000425
221604,2,50,1001,124,-1000,1,0,1,0,452.8900151,2.32,456.098196200001,457.353266399999,1.97291609999957,1,4.05,461.532451999999,462.596003000001,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",465.153734699999,467.473979599999,2,0,FALSE,"win",4.94152759999997,NA,"FALSE","FALSE",0.717845900001582
221604,2,52,1001,38,-1000,0,0,0,0,474.9798945,2.22,478.2961963,479.3930974,1.88394460000018,1,2.65,482.0844438,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",483.1389638,490.749965700001,7.49,0,FALSE,"nothing",7.66552190000101,NA,"FALSE","FALSE",0.787043500000212
221604,2,57,1001,121,-1000,1,0,1,0,521.8761715,3.96,526.7762535,527.699148199999,1.69117310000001,1,3.05,530.850538999999,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",531.929927699999,540.0769841,8.03,0,FALSE,"win",8.226445100001,NA,"FALSE","FALSE",0.768278400001118
221604,2,60,1001,57,-1000,0,0,-1,0,553.952396799999,4.49,559.5280423,560.777130099999,2.09308909999891,0,1.95,562.829756200001,563.8611146,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",566.4213707,571.190965399999,4.71,0,FALSE,"loss",7.36120919999792,NA,"FALSE","FALSE",0.844001299999949
221604,2,69,1001,42,-1000,1,0,-1,0,642.413604400001,1.78,645.072774,646.478196399999,2.0663325000005,0,4.88,651.496593,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",652.5819656,657.178441100001,4.28,0,FALSE,"loss",4.68184810000105,NA,"FALSE","FALSE",0.660910100001503
221604,2,71,1001,118,-1000,0,0,-1,0,666.0124056,4.06,670.8821847,671.905651900001,1.65183190000062,1,2.04,674.052409399999,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",675.1547154,677.645339500001,2.27,0,FALSE,"loss",2.59293010000204,NA,"FALSE","FALSE",0.628364699999683
221604,2,76,1001,109,-1000,0,0,1,0,703.931992899999,1.97,707.042924199999,708.006026999999,1.87540049999916,1,3.66,711.719571399999,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",712.803240499999,715.862602699999,2.95,0,FALSE,"win",3.14303129999996,NA,"FALSE","FALSE",0.912297699999159
221604,2,83,1001,63,-1000,0,0,-1,0,768.0509045,2.59,771.475590599999,772.791986099999,1.91434269999991,0,1.97,774.8168542,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",775.8708286,781.0400374,5,0,FALSE,"loss",5.22318319999999,NA,"FALSE","FALSE",0.597947199999911
221604,3,3,1002,18,-1000,1,0,-1,0,19.5775764000009,1.81,22.4278083999998,23.5971365000005,2.01930849999917,0,2.76,26.4463444000012,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",27.5309973000003,31.3282326999997,3.6,0,FALSE,"loss",3.8818882999985,NA,"FALSE","FALSE",0.849980399998473
221604,3,8,1002,125,-1000,1,1,0,0,63.8452746000003,2.06,66.9279454000007,68.6891211000002,2.5438978000002,1,1.15,69.9586204999996,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",71.0170865,75.1462807999997,3.94,0,FALSE,"nothing",4.1876603000001,NA,"FALSE","FALSE",0.782722100000702
221604,3,13,1002,136,-1000,1,0,-1,0,113.789977600001,2.3,117.3211808,118.2294365,1.93905760000052,1,2.95,121.264406600001,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",122.3442801,124.511332100001,1.86,0,FALSE,"loss",2.2469255,NA,"FALSE","FALSE",1.03080190000051
221604,3,19,1002,15,-1000,1,1,1,0,167.887963900001,1.84,170.330480800001,172.005917500001,2.14229420000083,1,4.22,176.3059287,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",177.418799000001,184.4686619,6.9,0,FALSE,"win",7.16273319999999,NA,"FALSE","FALSE",0.466857500000824
221604,3,22,1002,16,-1000,0,0,-1,0,201.8216161,2.35,205.2051858,206.3511834,1.99256770000102,1,4.18,210.598110300001,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",211.7096958,214.0695906,2.07,0,FALSE,"loss",2.471480299999,NA,"FALSE","FALSE",0.846570100001033
221604,3,27,1002,50,-1000,1,1,1,0,249.4495505,3.73,253.6767592,255.2518621,1.77896250000049,1,5.05,260.429147300001,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",261.548304400001,265.2121272,3.5,0,FALSE,"win",3.78297989999902,NA,"FALSE","FALSE",0.203859600000471
221604,3,31,1002,127,-1000,1,0,-1,0,287.889018900001,5.69,294.015606700001,295.5515196,1.75026070000058,1,5.29,300.9721625,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",302.058434500001,307.7007756,5.24,0,FALSE,"loss",5.72861309999996,NA,"FALSE","FALSE",0.214347800001575
221604,4,9,1003,105,-1000,1,1,0,0,75.3565340000005,2.67,78.7652916999996,79.9633384000008,1.7822797000008,1,2.7,82.7585032000006,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",83.8242683999997,86.8017581000004,2.73,0,FALSE,"nothing",3.0432548999998,NA,"FALSE","FALSE",0.5842329999996
221604,4,14,1003,28,-1000,1,0,1,0,124.3530531,4.35,129.1023425,130.080828800001,1.19829279999976,1,2.45,132.5930013,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","new_learn",133.6965373,136.510081100001,2.54,0,FALSE,"win",2.91707980000101,NA,"FALSE","FALSE",0.219806499998751
221604,4,34,1003,131,-1000,0,0,-1,0,303.1244271,4.96,308.620297200001,309.8726367,1.58219910000116,1,0.88,310.8335763,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",311.939764500001,314.525885700001,2.07,0,FALSE,"loss",2.69230940000102,NA,"FALSE","FALSE",0.329859600002178
221604,4,35,1003,73,-1000,0,0,0,0,311.939764500001,2.07,314.525885700001,315.5038071,1.29727450000064,1,2.84,318.453268700001,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",319.534142300001,322.409294200001,1.8,0,FALSE,"nothing",2.95602550000001,NA,"FALSE","FALSE",0.319353100001649
221604,4,36,1003,75,-1000,0,1,-1,0,319.534142300001,1.8,322.409294200001,323.612801900001,1.98750729999847,1,1.4,325.0989627,0,2021-05-17 20:54:22,"2-Feb-2021","pitt","accrej",326.216844800001,328.414068400001,2.11,0,FALSE,"loss",2.31510570000097,NA,"FALSE","FALSE",0.783999599998481
