id,run_number,trial,block,stim1,stim2,feedback,choice,outcome,times_too_slow,trial_started,iti,stim_time,choice_time,reaction_time,correct_choice,feedback_lag,feedback_time,every_ten,trial_type,next_start,too_slow_lead
220256,1,73,1000,181,182,1,1,-1,0,715.332242965698,2.55,717.936980962753,719.229339838028,1.28841996192932,0,2.58,721.843968868256,0,new_learn,722.883945941925,0
220256,1,74,1000,180,181,1,0,-1,0,722.883945941925,4.29,727.218798875809,729.327251911163,2.10051798820496,0,1.74,731.927130937576,0,new_learn,732.978262901306,0
220256,1,75,1000,28,-1000,0,1,0,0,732.978262901306,3.77,736.801208972931,738.330545902252,1.5356011390686,0,5.07,743.433538913727,0,accrej,744.504616975784,0
220256,1,76,1000,81,-1000,0,1,-1,0,744.504616975784,3.59,748.143545866013,749.914566993713,1.78189897537231,1,5.25,755.215436935425,0,accrej,756.282666921616,0
220256,1,77,1000,20,-1000,0,1,0,0,756.282666921616,1.95,758.28130197525,760.403485774994,2.12957620620728,1,1.19,761.631123781204,0,accrej,762.694805860519,0
220256,1,78,1000,51,-1000,0,1,-1,0,762.694805860519,2.37,765.113983869553,766.462033987045,1.35703206062317,1,4.61,771.096738815308,0,accrej,772.16427898407,0
220256,1,79,1000,181,180,1,0,-1,0,772.16427898407,4.38,776.595968008041,777.707803010941,1.10735177993774,1,1.23,780.295615911484,0,new_learn,781.354591846466,0
220256,1,80,1000,83,-1000,0,1,1,0,781.354591846466,3.11,784.511649847031,787.510571956635,3.0123929977417,1,1.04,788.577506780624,789.61202788353,accrej,792.177240848541,0
220256,1,81,1000,82,-1000,0,0,1,0,792.177240848541,3.22,795.443542957306,797.266834974289,1.82186794281006,1,3.08,800.409574985504,0,accrej,801.439610004425,0
220256,1,82,1000,180,182,1,0,-1,0,801.439610004425,2.79,804.275686979294,805.889356851578,1.61008787155151,0,4.59,810.510774850845,0,new_learn,811.570683002472,0
220256,1,83,1000,182,181,1,1,1,0,811.570683002472,6.91,818.527356863022,820.099409818649,1.56477808952332,1,1.85,822.693558931351,0,new_learn,823.736784934998,0
220256,1,84,1000,182,180,1,1,0,0,823.736784934998,5,828.776947975159,830.209342002869,1.42616081237793,0,4.47,834.721297979355,0,new_learn,,
220256,2,1,1001,183,185,1,0,-1,0,2.60097002983093,3.26,5.92172908782959,8.19901704788208,2.27227902412415,0,3.66,11.9024670124054,0,new_learn,12.9439890384674,0
220256,2,2,1001,79,-1000,0,1,1,0,12.9439890384674,3.8,16.7854700088501,18.5056331157684,1.7242591381073,0,1.55,20.0856890678406,0,accrej,21.1362760066986,0
220256,2,3,1001,84,-1000,0,1,0,0,21.1362760066986,2.53,23.7190320491791,25.3412082195282,1.63190412521362,1,1.33,26.7022950649261,0,accrej,27.7709140777588,0
220256,2,4,1001,185,184,1,0,-1,0,27.7709140777588,3.02,30.8357331752777,32.6836371421814,1.84329605102539,0,4.64,37.3524661064148,0,new_learn,38.4090480804443,0
220256,2,5,1001,184,183,1,1,-1,0,38.4090480804443,4.98,43.4358670711517,44.8562750816345,1.41607713699341,0,4.14,49.0358860492706,0,new_learn,50.0655100345612,0
220256,2,6,1001,71,-1000,0,1,0,0,50.0655100345612,5.32,55.4466910362244,57.0666561126709,1.63269186019897,1,4.67,61.779098033905,0,accrej,62.8188881874084,0
220256,2,7,1001,73,-1000,0,1,1,0,62.8188881874084,2.1,64.9786660671234,67.1741571426392,2.20504021644592,0,1.77,68.9856450557709,0,accrej,70.044007062912,0
220256,2,8,1001,184,185,1,1,-1,0,70.044007062912,2.75,72.8520390987396,74.170508146286,1.31276702880859,0,2.33,76.7691490650177,0,new_learn,77.8281471729279,0
220256,2,9,1001,183,184,1,0,-1,0,77.8281471729279,4.18,82.0597500801086,83.4335010051727,1.36800503730774,0,1.86,86.0353600978851,0,new_learn,87.0618810653687,0
