"subject_name","session","block","trial","stim1","stim2","feedback","C_st","C","o","stim_time","choice_time","feedback_time","acc","p_r1","p_pun1","p_r2","p_pun2","Q_chosen","Q_chosen_new","Q_unchosen","RPE","delta_Q","log_asym","R_mean","R_r","R_pun","outcome","RPE_wins","Q_chosen_wins","Q_unchosen_wins","Q_chosen_new_wins","delta_Q_wins","run_number","Q_diff"
221604,40,1001,34,185,184,0,1,184,-1,1621287407639,1621287408426,1621287414585,1,0.5,0.5,0.7,0.15,1.63649522494504,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,1.63649522494504,-2.8027786716901,NA,NA,2,4.43927389663514
221604,40,1001,35,185,183,0,1,183,-1,1621287416737,1621287417956,1621287423979,0,0.5,0.5,0.15,0.7,1.96379426993405,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,1.96379426993405,-2.8027786716901,NA,NA,2,4.76657294162415
221604,40,1001,41,183,184,0,1,184,1,1621287470408,1621287471550,1621287476378,1,0.15,0.7,0.7,0.15,1.68325223137205,NA,-0.419492200878022,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.68325223137205,-0.419492200878022,NA,NA,2,2.10274443225007
221604,40,1001,47,185,183,0,0,185,-1,1621287521843,1621287523503,1621287527177,1,0.5,0.5,0.15,0.7,-2.8027786716901,NA,-0.419492200878022,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,-2.8027786716901,-0.419492200878022,NA,NA,2,-2.38328647081207
221604,40,1001,53,183,184,0,1,184,0,1621287584812,1621287585953,1621287590685,1,0.15,0.7,0.7,0.15,1.7183199861923,NA,-1.21392102448205,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"nothing",NA,1.7183199861923,-1.21392102448205,NA,NA,2,2.93224101067434
221604,40,1001,54,184,183,0,0,184,1,1621287594227,1621287595256,1621287599679,1,0.7,0.15,0.15,0.7,1.7183199861923,NA,-1.21392102448205,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.7183199861923,-1.21392102448205,NA,NA,2,2.93224101067434
221604,40,1001,58,184,185,0,0,184,1,1621287634139,1621287635083,1621287638736,1,0.7,0.15,0.5,0.5,1.74559490660805,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.74559490660805,-2.8027786716901,NA,NA,2,4.54837357829814
221604,40,1001,77,183,185,0,1,185,-1,1621287809925,1621287811065,1621287817385,1,0.15,0.7,0.5,0.5,-0.419492200878022,NA,-1.84946408336527,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,-0.419492200878022,-1.84946408336527,NA,NA,2,1.42997188248724
221604,40,1001,78,185,184,0,1,184,1,1621287819757,1621287820536,1621287824163,1,0.5,0.5,0.7,0.15,1.81273317224682,NA,-0.419492200878022,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.81273317224682,-0.419492200878022,NA,NA,2,2.23222537312484
221604,40,1001,82,184,185,0,0,184,1,1621287856048,1621287856963,1621287862038,1,0.7,0.15,0.5,0.5,1.68325223137204,NA,-0.419492200878022,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.68325223137204,-0.419492200878022,NA,NA,2,2.10274443225007
221604,40,1001,84,184,183,0,0,184,1,1621287875102,1621287876278,1621287882359,1,0.7,0.15,0.15,0.7,1.68325223137204,NA,-1.84946408336527,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.68325223137204,-1.84946408336527,NA,NA,2,3.53271631473731
221604,40,1002,4,188,186,0,1,186,-1,1621287962640,1621287963733,1621287967352,0,0.15,0.15,0.15,0.7,-2.8027786716901,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,-2.8027786716901,0,NA,NA,3,-2.8027786716901
221604,40,1002,6,186,187,0,1,187,1,1621287981160,1621287982310,1621287986806,1,0.15,0.7,0.7,0.15,1.96379426993405,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.96379426993405,-2.8027786716901,NA,NA,3,4.76657294162415
221604,40,1002,10,186,187,0,1,187,1,1621288016619,1621288017716,1621288023732,1,0.15,0.7,0.7,0.15,1.96379426993405,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.96379426993405,-2.8027786716901,NA,NA,3,4.76657294162415
221604,40,1002,11,187,186,0,0,187,1,1621288028250,1621288029298,1621288035291,1,0.7,0.15,0.15,0.7,1.96379426993405,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.96379426993405,-2.8027786716901,NA,NA,3,4.76657294162415
221604,40,1002,12,188,186,0,0,188,0,1621288039577,1621288040943,1621288045018,1,0.15,0.15,0.15,0.7,0.981897134967026,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"nothing",NA,0.981897134967026,-2.8027786716901,NA,NA,3,3.78467580665712
221604,40,1002,16,187,188,0,0,187,-1,1621288073434,1621288074682,1621288081027,1,0.7,0.15,0.15,0.15,1.96379426993405,NA,0.654598089978018,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,1.96379426993405,0.654598089978018,NA,NA,3,1.30919617995604
221604,40,1002,17,186,188,0,1,188,0,1621288083295,1621288084323,1621288088106,1,0.15,0.7,0.15,0.15,0.654598089978018,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"nothing",NA,0.654598089978018,-2.8027786716901,NA,NA,3,3.45737676166811
